,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,,,108,Limosa,lapponica,,Tètol cuabarrat,Bar-tailed Godwit
,,,109,Limosa,limosa,,Tètol cuanegre,Black-tailed Godwit
,,,110,Arenaria,interpres,,Remena-rocs,Ruddy Turnstone
,,,111,Calidris,canutus,,Territ gros,Red Knot
,,,112,Calidris,pugnax,,Batallaire,Ruff
,,,113,Calidris,falcinellus,,Territ becadell,Broad-billed Sandpiper
,,,114,Calidris,himantopus,,Territ camallarg,Stilt Sandpiper
,,,115,Calidris,ferruginea,,Territ becllarg,Curlew Sandpiper
,,,116,Calidris,temminckii,,Territ de Temminck,Temminck’s Stint
,,,117,Calidris,alba,,Territ tresdits,Sanderling
,,,118,Calidris,alpina,,Territ variant,Dunlin
,,,119,Calidris,maritima,,Territ fosc,Purple Sandpiper
,,,120,Calidris,bairdii,,Territ de Baird,Baird’s Sandpiper
,,,121,Calidris,minuta,,Territ menut,Little Stint
,,,122,Calidris,minutilla,,Territ menut canadenc,Least Sandpiper
,,,123,Calidris,fuscicollis,,Territ cuablanc,White-rumped Sandpiper
,,,124,Calidris,subruficollis,,Territ rogenc,Buff-breasted Sandpiper
,,,125,Calidris,melanotos,,Territ pectoral,Pectoral Sandpiper
,,,126,Calidris,pusilla,,Territ semipalmat,Semipalmated Sandpiper
,,,127,Limnodromus,scolopaceus,,Tetolet becllarg,Long-billed Dowitcher
,,,128,Scolopax,rusticola,,Becada,Eurasian Woodcock
,,,129,Lymnocryptes,minimus,,Becadell sord,Jack Snipe
,,,130,Gallinago,media,,Becadell gros,Great Snipe
,,,131,Gallinago,gallinago,,Becadell comú,Common Snipe
,,,132,Xenus,cinereus,,Siseta cendrosa,Terek Sandpiper
,,,133,Phalaropus,tricolor,,Escuraflascons de Wilson,Wilson’s Phalarope
,,,134,Phalaropus,lobatus,,Escuraflascons becfí,Red-necked Phalarope
,,,135,Phalaropus,fulicarius,,Escuraflascons becgròs,Red Phalarope
,,,136,Actitis,hypoleucos,,Xivitona,Common Sandpiper
